Topic Category,PDF,Text
total number of drug or alcohol terms mentioned,DBAA_LEGAL_-_Employment_Requirements_and_Restrictions_Pre-Employment_Reviews_LEGAL.pdf,Education Code 22A.152-.153 The U.S. Department of Transportation (DOT) operates and main- tains a national clearinghouse for records relating to alcohol and controlled substances testing of commercial motor vehicle operators in order to improve compliance with DOT's alcohol and controlled substances testing program applicable to commercial motor vehicle operators [see DHE] and to enhance the safety of roadways by reducing accidents and injuries involving the misuse of alcohol or use of controlled substances by operators of commer- cial motor vehicles.
total number of drug or alcohol terms mentioned,DBAA_LEGAL_-_Employment_Requirements_and_Restrictions_Pre-Employment_Reviews_LEGAL.pdf,31306a A district must not employ a driver subject to controlled substances and alcohol testing under 49 C.F.R.
total number of drug or alcohol terms mentioned,DBAA_LEGAL_-_Employment_Requirements_and_Restrictions_Pre-Employment_Reviews_LEGAL.pdf,Part 382 to perform a safety- sensitive function without first conducting a pre-employment query of the federal Drug and Alcohol Clearinghouse to obtain informa- tion about the driver’s previous test results.
total number of drug or alcohol terms mentioned,DBAA_LEGAL_-_Employment_Requirements_and_Restrictions_Pre-Employment_Reviews_LEGAL.pdf,A district must conduct a query of the federal Drug and Alcohol Clearinghouse at least once per year for information for all employ- ees subject to controlled substance and alcohol testing under 49 C.F.R.
total number of drug or alcohol terms mentioned,DFBB_LOCAL_-_Term_Contracts_Nonrenewal_LOCAL.pdf,"Drunkenness or excessive use of alcoholic beverages; or possession, use, or being under the influence of alcohol or al- coholic beverages while on District property, while working in the scope of the employee’s duties, or while attending any school- or District-sponsored activity."
total number of drug or alcohol terms mentioned,DFBB_LOCAL_-_Term_Contracts_Nonrenewal_LOCAL.pdf,"The illegal possession, use, manufacture, or distribution of a controlled substance, a drug, a dangerous drug, hallucino- gens, or other substances regulated by state statutes."
total number of disciplinary terms mentioned,DHB_LEGAL_-_Employee_Standards_of_Conduct_Reports_to_State_Board_for_Educator_Certification_LEGAL.pdf,"[See AF] The superintendent may notify the State Board for Educator Certifi- cation (SBEC) of any educator misconduct that he or she believes in good faith may be subject to sanctions under 19 Administrative Code, Chapter 249, Disciplinary Proceedings, Sanctions, and Con- tested Cases, and/or Chapter 247, Educators' Code of Ethics."
total number of drug or alcohol terms mentioned,DHB_LEGAL_-_Employee_Standards_of_Conduct_Reports_to_State_Board_for_Educator_Certification_LEGAL.pdf,"The current use by a person of a controlled substance as de- fined by Chapter 481, Health and Safety Code, in a manner or to the extent that the use results in physical, mental, or emo- tional injury to a child; 9."
total number of drug or alcohol terms mentioned,DHB_LEGAL_-_Employee_Standards_of_Conduct_Reports_to_State_Board_for_Educator_Certification_LEGAL.pdf,Providing the student with drugs or alcohol.
total number of drug or alcohol terms mentioned,DHC_LEGAL_-_Employee_Standards_of_Conduct_Reports_to_Texas_Education_Agency_LEGAL.pdf,Providing the student with drugs or alcohol; 10.
total number of drug or alcohol terms mentioned,DHE_LEGAL_-_Employee_Standards_of_Conduct_Searches_and_Alcohol_Drug_Testing_LEGAL.pdf,"Skinner v. Railway Labor Executives Ass’n, 489 U.S. 602 (1989) A district may conduct drug tests, without a warrant and without in- dividualized suspicion, when the test serves special governmental needs that outweigh the individual’s privacy expectation."
total number of drug or alcohol terms mentioned,DHE_LEGAL_-_Employee_Standards_of_Conduct_Searches_and_Alcohol_Drug_Testing_LEGAL.pdf,382.107 A district shall ensure that all alcohol or controlled substances test- ing conducted under 49 C.F.R.
total number of drug or alcohol terms mentioned,DHE_LEGAL_-_Employee_Standards_of_Conduct_Searches_and_Alcohol_Drug_Testing_LEGAL.pdf,Pre-employment controlled substance tests required under 49 C.F.R.
total number of drug or alcohol terms mentioned,DHE_LEGAL_-_Employee_Standards_of_Conduct_Searches_and_Alcohol_Drug_Testing_LEGAL.pdf,Post-accident alcohol or controlled substance tests required under 49 C.F.R.
total number of drug or alcohol terms mentioned,DHE_LEGAL_-_Employee_Standards_of_Conduct_Searches_and_Alcohol_Drug_Testing_LEGAL.pdf,Random alcohol or controlled substances tests required un- der 49 C.F.R.
total number of drug or alcohol terms mentioned,DHE_LEGAL_-_Employee_Standards_of_Conduct_Searches_and_Alcohol_Drug_Testing_LEGAL.pdf,Reasonable suspicion alcohol or controlled substance tests required under 49 C.F.R.
total number of drug or alcohol terms mentioned,DHE_LEGAL_-_Employee_Standards_of_Conduct_Searches_and_Alcohol_Drug_Testing_LEGAL.pdf,Return-to-duty alcohol or controlled substances tests required under 49 C.F.R.
total number of drug or alcohol terms mentioned,DHE_LEGAL_-_Employee_Standards_of_Conduct_Searches_and_Alcohol_Drug_Testing_LEGAL.pdf,Follow-up alcohol or controlled substance tests required un- der 49 C.F.R.
total number of drug or alcohol terms mentioned,DHE_LEGAL_-_Employee_Standards_of_Conduct_Searches_and_Alcohol_Drug_Testing_LEGAL.pdf,382.211 A district is not required to provide an evaluation by a substance abuse professional or any subsequent recommended education or treatment for an employee who has violated a drug and alcohol regulation of the DOT.
total number of drug or alcohol terms mentioned,DHE_LEGAL_-_Employee_Standards_of_Conduct_Searches_and_Alcohol_Drug_Testing_LEGAL.pdf,"However, if a district offers an employee an opportunity to return to a safety-sensitive duty following a violation, the district must, be- fore the employee again performs that duty, ensure that the em- ployee receives an evaluation by a substance abuse professional and that the employee successfully complies with the profes- sional’s evaluation recommendations."
total number of drug or alcohol terms mentioned,DHE_LEGAL_-_Employee_Standards_of_Conduct_Searches_and_Alcohol_Drug_Testing_LEGAL.pdf,"40.289 If a district permits an employee who has violated a DOT drug and alcohol regulation to return to safety-sensitive functions, the district must ensure that the employee takes a return-to-duty test."
total number of drug or alcohol terms mentioned,DHE_LEGAL_-_Employee_Standards_of_Conduct_Searches_and_Alcohol_Drug_Testing_LEGAL.pdf,This test cannot occur until after the substance abuse professional has de- termined that the employee has successfully complied with pre- scribed education and/or treatment.
total number of drug or alcohol terms mentioned,DHE_LEGAL_-_Employee_Standards_of_Conduct_Searches_and_Alcohol_Drug_Testing_LEGAL.pdf,The employee must have a negative drug test result and/or an alcohol test with an alcohol con- centration of less than 0.02 before resuming performance of safety-sensitive duties.
total number of drug or alcohol terms mentioned,DHE_LEGAL_-_Employee_Standards_of_Conduct_Searches_and_Alcohol_Drug_Testing_LEGAL.pdf,The district shall ensure that a copy of these materials is distributed to each driver before the start of alcohol and controlled substances testing under 49 C.F.R.
total number of drug or alcohol terms mentioned,DHE_LEGAL_-_Employee_Standards_of_Conduct_Searches_and_Alcohol_Drug_Testing_LEGAL.pdf,"A valid positive result on an alcohol or drug test performed and whether the specimen producing the result was a dilute specimen, as defined by 49 C.F.R."
total number of drug or alcohol terms mentioned,DHE_LEGAL_-_Employee_Standards_of_Conduct_Searches_and_Alcohol_Drug_Testing_LEGAL.pdf,A refusal to provide a specimen for an alcohol or drug test; or 3.
total number of drug or alcohol terms mentioned,DHE_LEGAL_-_Employee_Standards_of_Conduct_Searches_and_Alcohol_Drug_Testing_LEGAL.pdf,"40.3, on an alcohol or drug test."
total number of disciplinary terms mentioned,DHE_LOCAL_-_Employee_Standards_of_Conduct_Searches_and_Alcohol_Drug_Testing_LOCAL.pdf,Searches that reveal a violation of the District’s standards of conduct may result in disciplinary action.
total number of drug or alcohol terms mentioned,DHE_LOCAL_-_Employee_Standards_of_Conduct_Searches_and_Alcohol_Drug_Testing_LOCAL.pdf,[See DH] The District may remove an employee from duty and require test- ing if there is reasonable suspicion that the employee is under the influence of alcohol or drugs used in violation of District policy.
total number of drug or alcohol terms mentioned,DHE_LOCAL_-_Employee_Standards_of_Conduct_Searches_and_Alcohol_Drug_Testing_LOCAL.pdf,Any e mployee who is asked to submit to drug or alco- hol screening shall be given the opportunity to provide relevant in- formation about prescription or nonprescription medications that may affect the screening.
total number of disciplinary terms mentioned,DHE_LOCAL_-_Employee_Standards_of_Conduct_Searches_and_Alcohol_Drug_Testing_LOCAL.pdf,"A District employee who refus es to comply with a dir ective to sub- mit to testing based upon reasonable suspicion shall be subject to disciplinary action, up to and including termination."
total number of drug or alcohol terms mentioned,DHE_LOCAL_-_Employee_Standards_of_Conduct_Searches_and_Alcohol_Drug_Testing_LOCAL.pdf,A District employee confirmed to have violated the District’s policy pertaining to alcohol or drugs may be subject to disc iplinary action .
total number of drug or alcohol terms mentioned,DHE_LOCAL_-_Employee_Standards_of_Conduct_Searches_and_Alcohol_Drug_Testing_LOCAL.pdf,"In accordance with DOT rules, the District shall estab lish an alco- hol and controlled substances testing program to help prevent ac- cidents and injuries resulting from the misuse of alcohol and con- trolled substances by the drivers of commercial motor vehicles, including school buses."
total number of drug or alcohol terms mentioned,DHE_LOCAL_-_Employee_Standards_of_Conduct_Searches_and_Alcohol_Drug_Testing_LOCAL.pdf,"The Superintendent shall designate a District official who shall be responsible for ensuring that information is disseminated to em- ployees covered under this testi ng program regarding prohibited driver conduct, alcohol and controlled substances tests, and the consequences that follow positive test results."
total number of drug or alcohol terms mentioned,DHE_LOCAL_-_Employee_Standards_of_Conduct_Searches_and_Alcohol_Drug_Testing_LOCAL.pdf,Refusing to submit to a required test for alcohol or controlled substances.
total number of drug or alcohol terms mentioned,DHE_LOCAL_-_Employee_Standards_of_Conduct_Searches_and_Alcohol_Drug_Testing_LOCAL.pdf,"Providing an adulterated, diluted, or a substituted specimen on an alcohol or controlled substances test."
total number of drug or alcohol terms mentioned,DHE_LOCAL_-_Employee_Standards_of_Conduct_Searches_and_Alcohol_Drug_Testing_LOCAL.pdf,"Testing positive for alcohol, at a concentration of 0.04 or above, i n a post -accident test."
total number of drug or alcohol terms mentioned,DHE_LOCAL_-_Employee_Standards_of_Conduct_Searches_and_Alcohol_Drug_Testing_LOCAL.pdf,"Testing positive for alcohol, at a concentration of 0.04 or above, in a random test."
total number of drug or alcohol terms mentioned,DHE_LOCAL_-_Employee_Standards_of_Conduct_Searches_and_Alcohol_Drug_Testing_LOCAL.pdf,"Testing positive f or alcohol, at a concentration of 0.04 or above, in a required follow -up test."
total number of drug or alcohol terms mentioned,DHE_LOCAL_-_Employee_Standards_of_Conduct_Searches_and_Alcohol_Drug_Testing_LOCAL.pdf,"Testing positive for alcohol, at a concentration of 0.04 or above, in a reasonable suspicion test."
total number of drug or alcohol terms mentioned,DHE_LOCAL_-_Employee_Standards_of_Conduct_Searches_and_Alcohol_Drug_Testing_LOCAL.pdf,"An employee who operates a commercial motor vehicle, including a bus, and commits a drug -related DOT violation as defined above may be reinstated as a driver if he or she successfully co mpletes a return -to-duty test."
total number of drug or alcohol terms mentioned,DHE_LOCAL_-_Employee_Standards_of_Conduct_Searches_and_Alcohol_Drug_Testing_LOCAL.pdf,"In accordance with DOT rules, a driver tested under this policy and found to have an alcohol concentration of 0.02 or greater, but less than 0.04, shall be suspended from driving duties for at least 24 hours."
total number of drug or alcohol terms mentioned,DHE_LOCAL_-_Employee_Standards_of_Conduct_Searches_and_Alcohol_Drug_Testing_LOCAL.pdf,"[In the event of a subsequent positive test result for alcohol of 0.02 or greater but less than 0.04, see the disciplinary consequences at District -Imposed Consequences, below.]"
total number of drug or alcohol terms mentioned,DHE_LOCAL_-_Employee_Standards_of_Conduct_Searches_and_Alcohol_Drug_Testing_LOCAL.pdf,"Within 24 hours of the ob- served behavior, the sup ervisor shall provide a signed, written rec- ord documenting the observations leading to a controlled substance reasonable suspicion test."
total number of drug or alcohol terms mentioned,DHE_LOCAL_-_Employee_Standards_of_Conduct_Searches_and_Alcohol_Drug_Testing_LOCAL.pdf,"In addition to the consequences established by federal law, a Dis- trict employee confirmed to have violated the District’s policy per- taining to alcohol or controlled substances, including a second or subsequent positive test result for alcohol of 0.02 or greater but less than 0.04, shall be subject to District -imposed discipline, as determined by his or her supervisor and the Superintendent."
number of times suspension or synonyms are mentioned,DHE_LOCAL_-_Employee_Standards_of_Conduct_Searches_and_Alcohol_Drug_Testing_LOCAL.pdf,"Such discipline may include any appropriate action from suspension without pay during the period of removal from safety -sensitive func- tions, up to and including termination of employment."
total number of drug or alcohol terms mentioned,DHE_LOCAL_-_Employee_Standards_of_Conduct_Searches_and_Alcohol_Drug_Testing_LOCAL.pdf,"[See DF se- ries] In cases where a driver is also employed in a nondriving capacity by the District, disciplinary action imposed for violation of alcohol and controlled substances policies shall apply to the employee’s functions and duties that involve driving."
total number of disciplinary terms mentioned,DHE_LOCAL_-_Employee_Standards_of_Conduct_Searches_and_Alcohol_Drug_Testing_LOCAL.pdf,"Additionally, u pon recom- mendation of the employee’s supervisor, disciplinary measures up to and including termination of employment with the District may be considered."
total number of disciplinary terms mentioned,DH_EXHIBIT_-_Employee_Standards_of_Conduct_EXHIBIT.pdf,"The educator shall not intentionally, knowingly, or recklessly misrepres ent his or her employment history, criminal history, and/or disciplinary record when applying for sub- sequent employment."
total number of drug or alcohol terms mentioned,DH_EXHIBIT_-_Employee_Standards_of_Conduct_EXHIBIT.pdf,The educator shall not be under the influence of alcohol or consume alcoholic beverages on school property or during school activities when students are present.
total number of disciplinary terms mentioned,DH_EXHIBIT_-_Employee_Standards_of_Conduct_EXHIBIT.pdf,The educator shall not retaliate against any in dividual who has filed a com- plaint with the SBEC or who provides information for a disciplinary investigation or proceed- ing under this chapter.
total number of health or treatment terms mentioned,DH_EXHIBIT_-_Employee_Standards_of_Conduct_EXHIBIT.pdf,"The educator shall not intentionally, knowingly, o r recklessly treat a student or minor in a manner that adversely affects or endangers the learning, physical health, mental health, or safety of the student or minor."
total number of drug or alcohol terms mentioned,DH_EXHIBIT_-_Employee_Standards_of_Conduct_EXHIBIT.pdf,The educator shall not furnish alcohol or illegal/unauthorized drugs to any per- son under 21 years of age unless the educator is a parent or guardian of that child or know- ingly allow any person under 21 years of age unless the educator is a parent or guardian of that child to consume alcohol or illegal/unauthorized drugs in the presence of the educator.
total number of health or treatment terms mentioned,DH_LEGAL_-_Employee_Standards_of_Conduct_LEGAL.pdf,"Education Code 21.041(b)(8); 19 TAC 247.1(b), (c) Any person who has reasonable cause to believe that a child’s physical or mental health or welfare has been adversely affected by abuse or neglect by any person shall immediately make a report as required by law."
number of time transfer or referral to disciplinary alternative school is mentioned,DH_LEGAL_-_Employee_Standards_of_Conduct_LEGAL.pdf,Forward or transfer the public information to the district or a district server to be preserved as provided by Government Code 552.004(a); or 2.
total number of drug or alcohol terms mentioned,DH_LEGAL_-_Employee_Standards_of_Conduct_LEGAL.pdf,Edu- cation Code 38.007(a) A district that receives a direct federal grant must agree to provide a drug-free workplace by: 1.
total number of drug or alcohol terms mentioned,DH_LEGAL_-_Employee_Standards_of_Conduct_LEGAL.pdf,"Publishing a statement notifying employees that the unlawful manufacture, distribution, dispensation, possession, or use of a controlled substance is prohibited in the district’s workplace and specifying the actions that will be taken against employ- ees for violations of the prohibition; 2."
total number of drug or alcohol terms mentioned,DH_LEGAL_-_Employee_Standards_of_Conduct_LEGAL.pdf,Establishing a drug-free awareness program to inform em- ployees about: a.
total number of drug or alcohol terms mentioned,DH_LEGAL_-_Employee_Standards_of_Conduct_LEGAL.pdf,The dangers of drug abuse in the workplace; b.
total number of drug or alcohol terms mentioned,DH_LEGAL_-_Employee_Standards_of_Conduct_LEGAL.pdf,"The district’s policy of maintaining a drug-free workplace; c. Available drug counseling, rehabilitation, and employee assistance programs; and d. The penalties that may be imposed on employees for drug abuse violations; 3."
total number of drug or alcohol terms mentioned,DH_LEGAL_-_Employee_Standards_of_Conduct_LEGAL.pdf,Notify the district of any criminal drug statute conviction for a violation occurring in the workplace no later than 5 days after the conviction; 5.
total number of drug or alcohol terms mentioned,DH_LEGAL_-_Employee_Standards_of_Conduct_LEGAL.pdf,"Imposing a sanction on, or requiring the satisfactory participa- tion in a drug abuse assistance or rehabilitation program by, any employee who is convicted, as required by 41 U.S.C."
total number of drug or alcohol terms mentioned,DH_LEGAL_-_Employee_Standards_of_Conduct_LEGAL.pdf,Making a good faith effort to continue to maintain a drug-free workplace through implementation of the above requirements.
total number of disciplinary terms mentioned,DH_LOCAL_-_Employee_Standards_of_Conduct_LOCAL.pdf,"Violation of any policies, regulations, or guidelines, including intentionally making a false claim, offering a false statement, or refusing to cooperate with a District investigation, may result in disciplinary action, including ter- mination of employment."
total number of health or treatment terms mentioned,DH_LOCAL_-_Employee_Standards_of_Conduct_LOCAL.pdf,"In accordance with ethical standards applicable to all District em- ployees [see DH(EXHIBIT)], an employee shall be prohibited from using electronic communications in a manner that constitutes pro- hibited harassment or abuse of a District student; adversely affects the student’s learning, mental health, or safety; includes threats of violence against the student; reveals confidential information about the student; or constitutes an inappropriate communication with a student, as described in the Educators’ Code of Ethics."
total number of disciplinary terms mentioned,DH_LOCAL_-_Employee_Standards_of_Conduct_LOCAL.pdf,"If an employee’s use of electronic communication violates state or federal law or District policy, or interferes with the em- ployee’s ability to effectively perform his or her job duties, the em- ployee is subject to disciplinary action, up to and including termina- tion of employment."
total number of disciplinary terms mentioned,DH_LOCAL_-_Employee_Standards_of_Conduct_LOCAL.pdf,"An employee shall be subject to disciplinary action, including termi- nation of employment, if the employee, intentionally or knowingly: •Engages in diversity, equity, and inclusion (DEI) duties."
total number of drug or alcohol terms mentioned,DH_LOCAL_-_Employee_Standards_of_Conduct_LOCAL.pdf,"An employee is also prohibited from possessing or using any type of nicotine product, including nicotine pouches, regardless of whether the product con- tains tobacco, while on District property, in a District vehicle, or while attending an off-campus school-related activity."
total number of drug or alcohol terms mentioned,DH_LOCAL_-_Employee_Standards_of_Conduct_LOCAL.pdf,"As a condition of employment, an employee shall abide by the terms of the following drug-free workplace provisions."
total number of drug or alcohol terms mentioned,DH_LOCAL_-_Employee_Standards_of_Conduct_LOCAL.pdf,"An employee shall notify the Superintendent in writing if the employee is con- victed for a violation of a criminal drug statute occurring in the workplace in accordance with Arrests, Indictments, Convictions, and Other Adjudications, below."
total number of drug or alcohol terms mentioned,DH_LOCAL_-_Employee_Standards_of_Conduct_LOCAL.pdf,"Any controlled substance or dangerous drug as defined by law, including but not limited to marijuana, any narcotic drug, hallucinogen, stimulant, depressant, amphetamine, or barbitu- rate."
total number of drug or alcohol terms mentioned,DH_LOCAL_-_Employee_Standards_of_Conduct_LOCAL.pdf,Alcohol or any alcoholic beverage.
total number of drug or alcohol terms mentioned,DH_LOCAL_-_Employee_Standards_of_Conduct_LOCAL.pdf,"Any other intoxicant or mood-changing, mind-altering, or be- havior-altering drug."
total number of drug or alcohol terms mentioned,DH_LOCAL_-_Employee_Standards_of_Conduct_LOCAL.pdf,An employee need not be legally intoxicated to be considered “un- der the influence” of a controlled substance.
total number of drug or alcohol terms mentioned,DH_LOCAL_-_Employee_Standards_of_Conduct_LOCAL.pdf,"Manufactures, possesses, or dispenses a substance listed above as part of the employee’s job responsibilities; 2."
total number of drug or alcohol terms mentioned,DH_LOCAL_-_Employee_Standards_of_Conduct_LOCAL.pdf,Possesses a controlled substance or drug that a licensed physician has prescribed for the employee’s child or other in- dividual for whom the employee is a legal guardian.
total number of drug or alcohol terms mentioned,DH_LOCAL_-_Employee_Standards_of_Conduct_LOCAL.pdf,An employee who violates these drug-free workplace provisions shall be subject to disciplinary sanctions.
total number of drug or alcohol terms mentioned,DH_LOCAL_-_Employee_Standards_of_Conduct_LOCAL.pdf,Referral to drug and alcohol counseling or rehabilitation pro- grams; 2.
number of times arrest or synonyms are mentioned,DH_LOCAL_-_Employee_Standards_of_Conduct_LOCAL.pdf,"An employee shall notify his or her principal or immediate supervi- sor within three calendar days of any arrest, indictment, conviction, no contest or guilty plea, or other adjudication of the employee for any felony, any offense involving moral turpitude, and any of the other offenses as indicated below: 1."
total number of drug or alcohol terms mentioned,EHAA_LEGAL_-_Basic_Instructional_Program_Required_Instruction_All_Levels__LEGAL.pdf,"Mental health, including instruction about mental health conditions, substance abuse, skills to manage emotions, establishing and maintaining positive relationships, and responsible decision-making; and c. Suicide prevention, including recognizing suicide-related risk factors and warning signs; 3."
total number of health or treatment terms mentioned,EHAA_LEGAL_-_Basic_Instructional_Program_Required_Instruction_All_Levels__LEGAL.pdf,"Mental health education, including education about mental health conditions, mental health well-being, skills to manage emotions, establishing and maintaining positive relationships, and responsible decision-making; 3."
total number of drug or alcohol terms mentioned,EHAA_LEGAL_-_Basic_Instructional_Program_Required_Instruction_All_Levels__LEGAL.pdf,"Substance abuse education, including education about alco- hol abuse, prescription drug abuse, and abuse of other con- trolled substances; 4."
total number of health or treatment terms mentioned,EHAA_LEGAL_-_Basic_Instructional_Program_Required_Instruction_All_Levels__LEGAL.pdf,"If the district requires health education for high school graduation, health education, including physical health education and mental health education, in grades 9 through 12."
total number of health or treatment terms mentioned,EHAA_LEGAL_-_Basic_Instructional_Program_Required_Instruction_All_Levels__LEGAL.pdf,"Policies, procedures, strategies, and curriculum appropriate for specific grade levels designed to prevent physical health concerns, including obesity, cardiovascular disease, Type 2 diabetes, and mental health concerns, including suicide, through coordination of: a."
total number of health or treatment terms mentioned,EHAA_LEGAL_-_Basic_Instructional_Program_Required_Instruction_All_Levels__LEGAL.pdf,"Health education, which must address physical health concerns and mental health concerns to ensure the inte- gration of physical health education and mental health education; b."
total number of health or treatment terms mentioned,EHAA_LEGAL_-_Basic_Instructional_Program_Required_Instruction_All_Levels__LEGAL.pdf,"School health services, including physical health ser- vices and mental health services, if provided at a cam- pus by the district or by a third party under a contract with the district; b."
total number of drug or alcohol terms mentioned,EHAA_LEGAL_-_Basic_Instructional_Program_Required_Instruction_All_Levels__LEGAL.pdf,"Risky behaviors and early warning signs of suicide risks and behavioral health concerns, including mental health disorders and substance use disorders; and b."
total number of drug or alcohol terms mentioned,EHAA_LEGAL_-_Basic_Instructional_Program_Required_Instruction_All_Levels__LEGAL.pdf,"Appropriate grade levels and curriculum for instruction regard- ing the dangers of opioids, including instruction on: a. Opioid addiction and abuse, including addiction to and abuse of synthetic opioids such as fentanyl; and b."
total number of drug or alcohol terms mentioned,EHAA_LEGAL_-_Basic_Instructional_Program_Required_Instruction_All_Levels__LEGAL.pdf,Methods for administering an opioid antagonist; and 8.
total number of disciplinary terms mentioned,EHAA_LEGAL_-_Basic_Instructional_Program_Required_Instruction_All_Levels__LEGAL.pdf,"Remove the student from any part of that instruction without subjecting the student to any disciplinary action, academic penalty, or other sanction imposed by the dis- trict or the student’s school; and c. Use the grievance procedure at FNG or the appeals process under Education Code 7.057 concerning a com- plaint of a violation of Education Code 28.004; 4."
total number of disciplinary terms mentioned,EHAA_LEGAL_-_Basic_Instructional_Program_Required_Instruction_All_Levels__LEGAL.pdf,"Remove the student from any part of the district's in- struction relating to the prevention of child abuse, family violence, dating violence, and sex trafficking without sub- jecting the student to any disciplinary action, academic penalty, or other sanction imposed by the district or the student's school; and c. Use the grievance procedure at FNG or the appeals process under Education Code 7.057 concerning a com- plaint of a violation of Education Code 28.004; 4."
number of times drug and alcohol use prevention programs are mentioned,EHAA_LEGAL_-_Basic_Instructional_Program_Required_Instruction_All_Levels__LEGAL.pdf,"Education Code 28.004(e-2), (j)-(j-2), (q-2) A district must adopt a character education program that includes the following positive character education traits and personal skills: 1."
number of times drug and alcohol use prevention programs are mentioned,EHAA_LEGAL_-_Basic_Instructional_Program_Required_Instruction_All_Levels__LEGAL.pdf,"In developing or selecting a character education program under Education Code 29.906, a district shall consult with a committee selected by the district that consists of parents of district students, educators, and other members of the community, including com- munity leaders."
number of times drug and alcohol use prevention programs are mentioned,EHAC_LEGAL_-_Basic_Instructional_Program_Required_Instruction_Secondary__LEGAL.pdf,19 TAC 74.3(b)(5) A district shall use the parenting and paternity awareness program developed by the SBOE in its high school health curriculum.
total number of drug or alcohol terms mentioned,EHAC_LEGAL_-_Basic_Instructional_Program_Required_Instruction_Secondary__LEGAL.pdf,"Education Code 28.002(p); 19 TAC 74.35(a) A district shall incorporate instruction in the dangers, causes, con- sequences, signs, symptoms, and treatment of binge drinking and alcohol poisoning into any course meeting a requirement for a health education credit."
total number of drug or alcohol terms mentioned,EHAC_LEGAL_-_Basic_Instructional_Program_Required_Instruction_Secondary__LEGAL.pdf,"A district shall choose an evidence-based alcohol awareness pro- gram to use in the district’s middle school, junior high school, and high school health curriculum from a list of programs approved by the commissioner for this purpose."
total number of drug or alcohol terms mentioned,EHAC_LEGAL_-_Basic_Instructional_Program_Required_Instruction_Secondary__LEGAL.pdf,"“Evidence-based alcohol awareness program” means a program, practice, or strategy that has been proven to effectively prevent or delay alcohol use among students, as determined by evaluations that use valid and reliable measures and that are published in peer-reviewed journals."
